 market , funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year
 Software ,"14,000,000",acquired,USA,MA,Boston,Bedford,1,1/1/90,1990-01,1990-Q1,1990
 Health Care ,"58,950,000",operating,USA,CA,San Diego,Carlsbad,2,1/1/90,1990-01,1990-Q1,1990
 Pharmaceuticals , -   ,operating,USA,TX,Austin,Austin,1,12/17/90,1990-12,1990-Q4,1990
 E-Commerce ,"3,100,000",operating,USA,GA,Atlanta,Alpharetta,2,1/1/90,1990-01,1990-Q1,1990
 Biotechnology ,"70,000,000",acquired,USA,UT,Salt Lake City,Salt Lake City,2,1/1/90,1990-01,1990-Q1,1990
 Biotechnology ,"420,000",operating,USA,FL,Tampa,Brandon,1,1/1/90,1990-01,1990-Q1,1990
 Mobile ,"6,000,000",closed,USA,CA,SF Bay Area,San Mateo,1,4/10/90,1990-04,1990-Q2,1990
 Biotechnology ,"22,723,750",operating,USA,MD,"Washington, D.C.",Bethesda,9,1/1/90,1990-01,1990-Q1,1990
,"2,750,000",operating,USA,PA,Pittsburgh,Pittsburgh,1,1/1/90,1990-01,1990-Q1,1990
 Health Care ,"7,200,000",operating,USA,MA,Boston,Tewksbury,3,1/1/90,1990-01,1990-Q1,1990
 Biotechnology ,"54,872,388",,USA,MA,Boston,Marlborough,5,1/1/90,1990-01,1990-Q1,1990
 Public Relations ,"5,268,664",operating,USA,KS,Kansas City,Overland Park,1,1/1/90,1990-01,1990-Q1,1990
 Finance ,"8,800,000",operating,USA,MD,"Washington, D.C.",Silver Spring,1,1/1/90,1990-01,1990-Q1,1990
 Manufacturing ,"700,000",operating,USA,MD,Baltimore,Randallstown,1,1/1/90,1990-01,1990-Q1,1990
 Manufacturing ,"6,500,000",operating,USA,WA,Seattle,Bellevue,1,1/1/90,1990-01,1990-Q1,1990
 Biotechnology ,"1,725,000",operating,USA,FL,Gainesville,Alachua,1,1/1/90,1990-01,1990-Q1,1990
 Software ,"400,000",operating,USA,MN,Minneapolis,Minneapolis,1,1/1/90,1990-01,1990-Q1,1990
, -   ,acquired,USA,MI,Detroit,Livonia,1,1/1/90,1990-01,1990-Q1,1990
 Hardware + Software ,"1,130,000",operating,USA,FL,Jacksonville,Jacksonville,1,1/1/90,1990-01,1990-Q1,1990
, -   ,operating,USA,TX,Dallas,Farmers Branch,1,1/1/90,1990-01,1990-Q1,1990
 Manufacturing ,"34,500,000",operating,USA,MA,MA - Other,Wilbraham,1,1/1/90,1990-01,1990-Q1,1990
 Biotechnology ,"96,700,000",operating,USA,CA,SF Bay Area,Menlo Park,1,8/28/90,1990-08,1990-Q3,1990
, -   ,acquired,USA,CA,San Diego,San Diego,1,1/1/90,1990-01,1990-Q1,1990
, -   ,acquired,USA,OR,Eugene,Bend,1,1/1/90,1990-01,1990-Q1,1990
 Clean Technology ,"28,000,000",closed,USA,CA,SF Bay Area,Union City,2,1/1/90,1990-01,1990-Q1,1990
 Enterprise Software ,"2,400,000",operating,USA,TN,Nashville,Nashville,1,1/1/90,1990-01,1990-Q1,1990
 Information Technology , -   ,operating,USA,CA,SF Bay Area,Mountain View,1,1/1/90,1990-01,1990-Q1,1990
 Health and Wellness ,"650,000",operating,USA,MD,Baltimore,Owings Mills,1,1/1/90,1990-01,1990-Q1,1990
 Software ,"5,000,000",operating,USA,NJ,NJ - Other,Moorestown,1,1/1/90,1990-01,1990-Q1,1990
 Design ,"430,000",operating,USA,OR,"Portland, Oregon",Tualatin,1,1/1/90,1990-01,1990-Q1,1990
, -   ,,USA,FL,Tampa,Clearwater,1,1/1/90,1990-01,1990-Q1,1990
 Photography ,"1,000,000",operating,USA,NY,New York City,New York,1,1/1/90,1990-01,1990-Q1,1990
 Market Research ,"153,000,000",operating,USA,IL,Chicago,Chicago,1,1/1/90,1990-01,1990-Q1,1990
 Market Research ,"2,800,000",operating,USA,UT,Salt Lake City,Salt Lake City,1,1/1/90,1990-01,1990-Q1,1990
