"Founded year of startups","Startup industry","Number of startups in this industry","Total number of founded startups","Percentage of startups by industry"
1990," Biotechnology ",13,79,0.164556962025316
1990," Consulting ",1,79,0.0126582278481013
1990," E-Commerce ",2,79,0.0253164556962025
1990," Education ",1,79,0.0126582278481013
1990," Fashion ",1,79,0.0126582278481013
1990," Mobile ",2,79,0.0253164556962025
1990," Social Media ",1,79,0.0126582278481013
1990," Software ",17,79,0.215189873417722
1991," Biotechnology ",6,84,0.0714285714285714
1991," Consulting ",6,84,0.0714285714285714
1991," E-Commerce ",1,84,0.0119047619047619
1991," Education ",1,84,0.0119047619047619
1991," Mobile ",3,84,0.0357142857142857
1991," Real Estate ",1,84,0.0119047619047619
1991," Software ",16,84,0.19047619047619
1992," Biotechnology ",23,106,0.216981132075472
1992," Consulting ",2,106,0.0188679245283019
1992," E-Commerce ",4,106,0.0377358490566038
1992," Mobile ",7,106,0.0660377358490566
1992," Software ",22,106,0.207547169811321
1993," Biotechnology ",20,115,0.173913043478261
1993," Consulting ",2,115,0.0173913043478261
1993," E-Commerce ",3,115,0.0260869565217391
1993," Education ",2,115,0.0173913043478261
1993," Fashion ",1,115,0.00869565217391304
1993," Mobile ",3,115,0.0260869565217391
1993," Software ",25,115,0.217391304347826
1993," Travel ",1,115,0.00869565217391304
1994," Biotechnology ",16,149,0.10738255033557
1994," Consulting ",7,149,0.0469798657718121
1994," E-Commerce ",1,149,0.00671140939597315
1994," Education ",2,149,0.0134228187919463
1994," Fashion ",2,149,0.0134228187919463
1994," Mobile ",5,149,0.0335570469798658
1994," Social Media ",1,149,0.00671140939597315
1994," Software ",28,149,0.187919463087248
1994," Travel ",1,149,0.00671140939597315
1995," Biotechnology ",26,204,0.127450980392157
1995," Consulting ",4,204,0.0196078431372549
1995," E-Commerce ",8,204,0.0392156862745098
1995," Education ",2,204,0.00980392156862745
1995," Fashion ",1,204,0.00490196078431373
1995," Mobile ",6,204,0.0294117647058824
1995," Real Estate ",1,204,0.00490196078431373
1995," Software ",33,204,0.161764705882353
1995," Travel ",1,204,0.00490196078431373
1996," Biotechnology ",32,277,0.115523465703971
1996," Consulting ",6,277,0.0216606498194946
1996," E-Commerce ",10,277,0.036101083032491
1996," Education ",2,277,0.0072202166064982
1996," Fashion ",1,277,0.0036101083032491
1996," Mobile ",9,277,0.0324909747292419
1996," Real Estate ",2,277,0.0072202166064982
1996," Social Media ",2,277,0.0072202166064982
1996," Software ",40,277,0.144404332129964
1996," Travel ",1,277,0.0036101083032491
1997," Biotechnology ",58,345,0.168115942028985
1997," Consulting ",9,345,0.0260869565217391
1997," E-Commerce ",11,345,0.0318840579710145
1997," Education ",4,345,0.0115942028985507
1997," Mobile ",11,345,0.0318840579710145
1997," Real Estate ",1,345,0.00289855072463768
1997," Software ",63,345,0.182608695652174
1997," Travel ",1,345,0.00289855072463768
1998," Biotechnology ",55,408,0.134803921568627
1998," Consulting ",9,408,0.0220588235294118
1998," E-Commerce ",7,408,0.017156862745098
1998," Education ",8,408,0.0196078431372549
1998," Fashion ",1,408,0.00245098039215686
1998," Mobile ",9,408,0.0220588235294118
1998," Real Estate ",2,408,0.00490196078431373
1998," Software ",91,408,0.223039215686275
1998," Travel ",4,408,0.00980392156862745
1999," Biotechnology ",67,732,0.0915300546448087
1999," Consulting ",13,732,0.0177595628415301
1999," E-Commerce ",24,732,0.0327868852459016
1999," Education ",6,732,0.00819672131147541
1999," Fashion ",4,732,0.00546448087431694
1999," Mobile ",28,732,0.0382513661202186
1999," Real Estate ",1,732,0.00136612021857923
1999," Social Media ",5,732,0.00683060109289617
1999," Software ",132,732,0.180327868852459
