Founded year of startups,Startup industry,Number of startups in this industry,Total number of founded startups,Percentage of startups by industry
"Period I (From 1990 to 1999, Mean)", Biotechnology ,316,2499,0.12645058
"Period I (From 1990 to 1999, Mean)", Consulting ,59,2499,0.023609444
"Period I (From 1990 to 1999, Mean)", E-Commerce ,71,2499,0.028411365
"Period I (From 1990 to 1999, Mean)", Education ,28,2393,0.011700794
"Period I (From 1990 to 1999, Mean)", Fashion ,11,1964,0.005600815
"Period I (From 1990 to 1999, Mean)", Mobile ,83,2499,0.033213285
"Period I (From 1990 to 1999, Mean)", Real Estate ,8,2050,0.003902439
"Period I (From 1990 to 1999, Mean)", Social Media ,9,1237,0.007275667
"Period I (From 1990 to 1999, Mean)", Software ,467,2499,0.18687475
"Period I (From 1990 to 1999, Mean)", Travel ,11,2230,0.004932735
"Period II (From 2000 to 2013, Mean)", Biotechnology ,2039,31861,0.063996736
"Period II (From 2000 to 2013, Mean)", Consulting ,282,31861,0.008850946
"Period II (From 2000 to 2013, Mean)", E-Commerce ,1336,31861,0.041932143
"Period II (From 2000 to 2013, Mean)", Education ,582,31861,0.018266847
"Period II (From 2000 to 2013, Mean)", Fashion ,278,31146,0.008925705
"Period II (From 2000 to 2013, Mean)", Mobile ,1467,31861,0.046043753
"Period II (From 2000 to 2013, Mean)", Real Estate ,276,31861,0.008662628
"Period II (From 2000 to 2013, Mean)", Social Media ,692,31861,0.021719343
"Period II (From 2000 to 2013, Mean)", Software ,3135,31861,0.098396158
"Period II (From 2000 to 2013, Mean)", Travel ,275,31146,0.008829384
